compound,reversal_score,DAM_up,IFN_up,Chemokine_up,Homeo_down
KI20227,3.8133092134920847,0.1218142129798249,0.0674784840917345,0.0709473774154047,0.0905548033415685
ON-01910,3.8043796435863886,0.0250707882950337,0.0248101341318829,0.0709473774154047,
ro 31-8220 mesylate,3.7700305903413436,0.0630633398928267,0.1698237196897563,0.0727114555829903,0.0905548033415685
WZ-4002,3.746721532597527,0.0441923769742927,,0.02059560327509,0.0905548033415685
BIX-01294,3.724720310203423,0.115505709848125,0.0930614005896247,0.0709473774154047,0.0905548033415685
SB-525334,3.7228077743665837,0.1218142129798249,0.087557250746327,0.0709473774154047,0.0905548033415685
OTSSP167,3.709126519663158,0.1225011337078354,0.1038369352902079,0.0709473774154047,0.0810779587216714
pazopanib,3.7060249555599913,0.1218142129798249,0.0045646765031258,0.0709473774154047,
neratinib,3.701625799991033,0.1218142129798249,0.0930614005896247,0.0709473774154047,0.0905548033415685
WZ-7043,3.701625799991033,0.1218142129798249,0.0930614005896247,0.0709473774154047,0.0905548033415685
BX-912,3.701625799991033,0.1218142129798249,0.0930614005896247,0.0709473774154047,0.0905548033415685
SB-239063,3.69030033188904,0.1218142129798249,0.0961449370849239,0.0709473774154047,0.0905548033415685
quinacrine dihydrochloride dihydrate,3.6900956623640355,0.1224096540503466,0.1086830649517716,0.0624179630514954,0.0905548033415685
BRD-K28907958,3.689358725541742,0.1224096540503466,0.0958200281023653,0.0709473774154047,0.0905548033415685
sib 1893,3.683569302790336,0.1269855957691366,0.0930614005896247,0.0709473774154047,0.0905548033415685
mitomycin c,3.6792207905002563,0.1224096540503466,0.0986571834508724,0.0709473774154047,0.0905548033415685
4-demethoxydaunorubicin hydrochloride (65),3.6700877936001595,0.1237057046359566,0.0999602624610004,0.0709473774154047,0.0905548033415685
wortmannin,3.669399793792697,0.1218142129798249,0.1021061949395158,0.0709473774154047,0.0905548033415685
niclosamide,3.6642918548940493,0.1218142129798249,0.1143198822438539,0.0643060144386325,0.0905548033415685
bx-795,3.654556239255945,0.1224096540503466,0.1059154709788274,0.0709473774154047,0.0905548033415685
azacitidine,3.646589086941432,0.0157148048345511,0.089760365948435,0.0553723285454937,
VE821,3.631244563767563,0.0269686263415016,0.0532391849382539,,0.0905548033415685
hy-11001,3.6252852180310717,0.1236475280125219,0.1129989610666885,0.0709473774154047,0.0910585449331282
NU-7026,3.6001661750403153,0.0250707882950337,0.0031683437491121,,
salermide,3.5981654745504583,0.0548238510401628,,0.0199995647287594,0.105207948369808
BRD-K57080016,3.5682666597975254,0.1224096540503466,0.1328127439196764,0.0709473774154047,0.0921672847033904
teniposide,3.5574849714650143,0.1218142129798249,0.1409112346319952,0.0709473774154047,0.0905548033415685
narciclasine,3.535589572010081,0.0365567066208075,0.1071984750047745,0.0222134287186446,
doxorubicin hydrochloride,3.5042051381832726,0.0286954340075935,,0.0709473774154047,0.0906218632003973
palbociclib,3.489556233370207,0.0239065335161897,0.0930614005896247,,0.0905548033415685
imd 0354,3.4886502908465955,0.0267524370582538,,0.0709473774154047,0.1007481966427421
d3943,3.4837032346685435,0.0301048312075603,,0.0709473774154047,0.0905548033415685
SU-11274,3.473064699251962,0.0262755007486298,0.0607147243859191,0.0709473774154047,
GDC-0879,3.4684819104032494,0.0194223296469141,0.089760365948435,0.0709473774154047,
jak3 inhibitor vi,3.448211687783382,0.0326683908879881,,0.0709473774154047,0.0905548033415685
CX-5461,3.4407094897433828,0.0267524370582538,0.0930614005896247,,0.0905548033415685
hy-10518,3.3908112726831687,0.1465656995003007,0.1705207089469601,0.0742616002372649,0.0914372667957408
KIN001-266,3.3889801443450684,0.1218142129798249,,0.0162372695492674,0.0905548033415685
CGK-733,3.3701525686026543,0.0436474091411486,0.1025695229206488,0.029946279020736,
doramapimod,3.3450672658014606,0.0250707882950337,0.0930614005896247,0.0709473774154047,
sorafenib,3.3420191662010392,0.0250707882950337,0.0938814327691289,0.0709473774154047,
KIN001-220,3.3420191662010392,0.0250707882950337,0.0938814327691289,0.0709473774154047,
erlotinib,3.33699325552775,0.0255412412876284,0.0930614005896247,0.0709473774154047,
cabozantinib,3.3349178982476144,0.0250707882950337,0.0958200281023653,0.0709473774154047,
methylstat,3.3091364893189383,0.1224096540503466,0.1038369352902079,0.0097153385393118,
A66,3.3063709305199094,0.1218142129798249,,0.02059560327509,0.0905548033415685
SGI-1776,3.3034920119081552,0.1239612387208105,0.014226276801854,0.0709473774154047,
tg101348,3.3000414795410604,0.1224096540503466,,0.02059560327509,0.0914372667957408
pp-110,3.295032910387738,0.046484324130739,,0.0709473774154047,0.0905548033415685
lawsone,3.2892734533909356,0.0042655738918009,,0.0709473774154047,
cycloheximide,3.2769061556458845,0.0484655645041013,,0.0709473774154047,0.0905548033415685
