source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,tissue,condition
BAM,BAM,Psen1,Ncstn,0.38947183,0.9,0.12840688,-0.07646622684505523,-0.08724820010361414,0.014552633,0.69253594,0.9379304211532513,0.9926118376634523,OpticNerve,MB
MHCII+ Mac/APC,Homeostatic MG,Sema4c,Plxnb2,0.40056396,0.46,0.09845031,-0.013896160556534955,-0.0003018631597987431,0.019939505,0.6635547,0.34764357512028676,0.9928451257963102,OpticNerve,MB
Proliferating MG,Iron+ MG (Fth1+),Icam1,Itgax_Itgb2,0.389462,0.42,0.14737,0.1512109036859033,0.08377228183343999,0.02001781,0.70700306,0.3198682795621352,0.9928451257963102,OpticNerve,MB
T cell,Proliferating MG,Il15ra,Axl,0.38936073,0.37,0.106578395,0.0445204469112816,0.004162251866523192,0.019792017,0.67235154,0.28332165039413126,0.9930781937756932,OpticNerve,MB
MHCII+ MG,Iron+ MG (Fth1+),Pkm,Cd44,0.21425281,1.0,0.038135998,-0.3009154577099939,0.015798151555352996,0.0014082612,0.5510661,1.0,0.9931249228233253,OpticNerve,MB
Iron+ MG (Fth1+),MHCII+ Mac/APC,Spp1,Itga8_Itgb1,0.50301534,0.0,0.09840724,1.6782434156407844,1.8217480628669631,0.16212656,0.66350585,0.0021261137254306936,0.9933115549700537,OpticNerve,MB
Proliferating MG,Proliferating MG,Txlna,Stx1a,0.22049265,0.05,0.038150568,0.250335246245204,0.06386744871550665,0.036450356,0.55111337,0.0779655700207623,0.9934976748769967,OpticNerve,MB
NK cell,NK cell,Cd14,Itgb2,0.49365747,1.0,0.09838046,-0.33611018131968473,-0.4833018413774418,0.0030910147,0.6634755,1.0,0.9937781302035786,OpticNerve,MB
Iron+ MG (Fth1+),NK cell,Plau,Itgb5,0.38918328,1.0,0.14938165,-1.1116620531387795,-1.0426184883930536,0.007897987,0.7084054,1.0,0.9937781302035786,OpticNerve,MB
Homeostatic MG,MHCII+ MG,Adam17,Il6ra,0.7135873,1.0,0.48292875,-0.4785454899880667,-0.10992118142705098,0.011826167,0.8137153,1.0,0.993839147745556,OpticNerve,MB
Proliferating MG,DAM-like MG,Clcf1,Sorl1,0.287218,0.1,0.038152907,0.04416904295062575,-0.011865146394575754,0.018868312,0.55112094,0.17596811782385166,0.9938703807717748,OpticNerve,MB
Iron+ MG (Fth1+),T cell,Cd47,Sirpa,0.6884066,1.0,0.4360163,-0.809503290694158,-0.5930118231286637,0.0049055056,0.8058458,1.0,0.9941282217151564,OpticNerve,MB
T cell,Iron+ MG (Fth1+),Sirpa,Cd47,0.6884066,1.0,0.4360163,-0.809503290694158,-0.5930118231286637,0.0049055056,0.8058458,1.0,0.9941282217151564,OpticNerve,MB
Proliferating MG,T cell,L1cam,Fgfr2,0.360027,0.98,0.038157832,-0.18272296954180217,-0.2429671982315505,0.006369218,0.5511369,1.0,0.9942430405105191,OpticNerve,MB
MHCII+ MG,T cell,Gnai2,Ccr5,0.71334755,1.0,0.4996603,-0.8903908805759331,-0.6711025390848002,0.0045119585,0.8162829,1.0,0.9943009804042278,OpticNerve,MB
T cell,MHCII+ MG,Ifng,Ifngr1_Ifngr2,0.38884842,1.0,0.14523344,1.1560762505378976,0.30638493685120827,0.026180938,0.7054882,0.1370645823126174,0.9944783954380261,OpticNerve,MB
Homeostatic MG,T cell,App,Aplp2,0.67836726,0.72,0.43603122,-0.029842276369982098,-0.07182049655033795,0.012529266,0.8058485,0.5943937806617224,0.9944783954380261,OpticNerve,MB
Homeostatic MG,MHCII+ Mac/APC,Icam1,Spn,0.39897788,0.0,0.09832095,0.7589427928087485,0.2309454282049904,0.026409617,0.6634079,0.008718870941111283,0.9944783954380261,OpticNerve,MB
MHCII+ MG,MHCII+ Mac/APC,Bsg,Slc16a1,0.2573378,1.0,0.038183764,-0.3563501017090078,-0.01695801770755613,0.005337551,0.5512209,1.0,0.9946157566251194,OpticNerve,MB
MHCII+ Mac/APC,Iron+ MG (Fth1+),Copa,Cd74,0.6935479,0.03,0.43604216,0.186797865223988,0.003119831246812199,0.007946329,0.80585045,0.899682848948696,0.9947117189414325,OpticNerve,MB
NK cell,MHCII+ MG,Copa,P2ry6,0.38883618,1.0,0.14946252,-0.43730907813234915,-0.13005556452990158,0.006473802,0.7084613,1.0,0.9947117189414325,OpticNerve,MB
BAM,MHCII+ Mac/APC,Pf4,Lrp1,0.6851678,0.05,0.4364644,2.2183083082850805,0.4887891097907542,0.058932167,0.80592614,0.024090273114891834,0.9949453359612506,OpticNerve,MB
MHCII+ Mac/APC,T cell,Lipc,Lrp1,0.31168273,1.0,0.038200427,-0.42688987698542863,-0.4652013847832444,0.0065201,0.55127496,1.0,0.9949883240476702,OpticNerve,MB
