gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Dcst1,-0.34063889816536197,0.7350785965822457,6.311052109999999,8.258111468333334,0.8965366372641295
Ube2s,0.5637719404306295,0.7350875129201317,610.0277111666667,412.37922043333333,0.8964775621794945
Adi1,0.6868931281206556,0.7351646285758382,2267.0569824333334,1407.89467,0.8965016624488162
Aig1,-0.11889740846976062,0.7352472700538903,1668.2661426666666,1811.6638393333333,0.8965324969352024
Zfp947,-0.43610854036662117,0.7354289199842464,21.72836808,29.75034595,0.8966840443271261
Thrap3,0.12653945986526266,0.7355708876736481,4923.767345,4510.215205333333,0.8967871886145224
Ap1s2,0.07289824247203668,0.7356898274882723,1481.7512029,1408.6903519999998,0.8968622440702841
Trank1,2.1534877342750733,0.7357929317873105,15.76036713,2.767203875,0.8969179846188452
Mapk3,-0.09192648415870601,0.7358304819153727,1701.6963707666666,1813.7208936666666,0.8968938133826567
Fbxo42,0.7537598758597603,0.7359818963807778,929.4936474666666,550.8347945666666,0.8970084227936014
Ppip5k2,0.1473599169776355,0.7361726061396638,771.4102384333333,696.4101546333333,0.8971709033657481
Mcee,0.1017874923048406,0.7361788801825954,653.1544315666667,608.5919166333333,0.8971086049843415
Ddx49,0.12602463423358537,0.7362163389853942,698.4438287333332,639.9374491666666,0.8970843151450496
Ap3d1,0.03559193307572283,0.7362352455878927,3365.2806743333335,3283.2490606666665,0.8970374248799089
Neb,1.3512812007827826,0.7362480980129821,61.17886309333333,23.3706214,0.8969831660203369
Pold2,-0.08505648989512084,0.7363149490380839,1081.9808598333332,1147.7495015000002,0.8969946978734541
Ribc1,-0.20050256151010967,0.7364438082658495,36.68585944666666,42.30476730233333,0.8970817617677286
Pierce2,-0.014146633054280136,0.7364577600528797,174.29862028000002,176.02600100000004,0.8970288511950879
Cacnb4,0.29751052859006566,0.7365815253857481,50.45207344,40.864247350666666,0.8971096948188115
Snora28,0.015313732111848248,0.7366357739933701,126.16708018000001,124.82438231333333,0.8971058654686691
Efcab2,0.5538621938836606,0.7366872675147572,630.3193659666666,429.05101583333334,0.8970986817172928
