,log2fc,p,fdr
Lingo2,-1.373561946896153,0.45052567402018256,0.7763480423971707
Lingo3,-1.4478559806279114,0.2360308326994636,0.7520180336367764
Lingo4,-2.79157009986524,0.015328748747989972,0.7517629275291794
Lins1,-1.344651406569154,0.27792696320521315,0.7637747757727058
Lipa,1.1477717442757143,0.08217052851254343,0.7517629275291794
Lipc,1.7012313173806066,0.26053349699114187,0.7586323021372235
Lipe,0.6920600585867117,0.9172360758772735,0.9707340998308008
Lipg,-1.8610891395429037,0.09411113662213523,0.7517629275291794
Liph,-0.07975925213027849,0.9136664422605338,0.9694536715971355
Lipo2,0.20366658836374316,0.796516024685805,0.9219644820390784
Lipo3,0.6932248969530187,0.2737500114430591,0.7637747757727058
Lipo4,-0.09533096523355661,0.8261290002232089,0.9337281039574794
Lipt1,0.09134313768479616,0.9213916626953851,0.9729867948560985
Lipt2,0.9126165916835689,0.6373427260153287,0.8574779256005053
Litaf,0.886544837936333,0.04113126399067573,0.7517629275291794
Litafd,-2.2827650524293883,0.2207817443774895,0.7517629275291794
Lix1,-2.3754995368727294,0.21076018759559606,0.7517629275291794
Lix1l,-1.0654878315560534,0.11782312059268134,0.7517629275291794
Llgl1,-0.530627555435577,0.36956357494513986,0.7637747757727058
Llgl2,-0.2995506596529137,0.9308600380921638,0.9765323449659585
Llph,1.3177201619916488,0.06055960277046676,0.7517629275291794
Llph-ps1,1.3194484184066733,0.41396445476382476,0.7637747757727058
Llph-ps2,1.313949804613529,0.20791292927510394,0.7517629275291794
Lman1,0.11719854146179769,0.969551352474362,0.9889472133832657
Lman1l,-1.8360921082665906,0.18756928364137077,0.7517629275291794
Lman2,0.2036968008939585,0.6752632850002197,0.8724876678907353
Lman2l,0.283533859950733,0.4454358240954103,0.773440285695903
Lmbr1,-1.061268938748285,0.19747153189994143,0.7517629275291794
Lmbr1l,-0.22514319868226054,0.5677159279970855,0.8289053224233018
Lmbrd1,0.24253036486518995,0.5750473957051468,0.8299162381459184
Lmbrd2,0.2995961866326639,0.09772273243244164,0.7517629275291794
Lmcd1,-4.238407122505022,0.06302673419433412,0.7517629275291794
Lmf1,0.08293821056310717,0.7513594642535402,0.9045958776550636
Lmf2,0.28605128222277615,0.5778735771707572,0.8313313560300415
Lmln,0.1319198367664096,0.7560709842161143,0.9059677720671456
Lmna,0.1522403466079116,0.6573792884004757,0.8650354248763197
Lmnb1,1.1219105907263274,0.2910693322042496,0.7637747757727058
Lmnb2,-0.6079418955721749,0.4086408062744533,0.7637747757727058
Lmntd1,2.1418359415838637,0.7444670116928593,0.9015680044674087
Lmntd2,2.363220407379755,0.42264973081037427,0.7637747757727058
Lmo1,-2.756534889045659,0.11231388452271658,0.7517629275291794
Lmo2,0.48060920153729325,0.9166650011029298,0.9704434717368469
Lmo3,-7.108613633357952,0.19832997956245663,0.7517629275291794
Lmo4,0.36311175504003557,0.10670711569960699,0.7517629275291794
Lmo7,-1.8685615216175462,0.28678522857357797,0.7637747757727058
Lmod1,-1.924665178210721,0.16531005622627626,0.7517629275291794
Lmod3,5.665111638139098,0.42264973081037427,0.7637747757727058
Lmtk2,-0.7475694497374171,0.36663696080296637,0.7637747757727058
Lmtk3,0.47720530997755783,0.8945501195759812,0.9624705368853592
Lncbate10,4.59930966323965,0.42264973081037427,0.7637747757727058
Lncbate6,-1.6619270212068777,0.7409623920534247,0.8994797572511593
Lncpint,0.016224713178822972,0.6888698436963334,0.8780430534706992
Lncppara,0.048004960692604536,0.8962754494683495,0.9631239105409019
Lnp1,-0.7073763776948054,0.9145342378051096,0.96956742260372
Lnpep,-0.3186306131464986,0.5715621450019883,0.8289699550139333
Lnpk,-0.58517930260782,0.3117567666552733,0.7637747757727058
Lnx1,0.4303859633738007,0.7111643659558826,0.8881492986646096
Lnx2,-0.9565659165300794,0.22523362400900254,0.7517629275291794
LOC100038987,0.15871986011681674,0.9672298534719109,0.9886124406279126
LOC100041034,0.5355167552788999,0.38960124518566047,0.7637747757727058
LOC100041057,1.5989274247602232,0.3697861231476654,0.7637747757727058
LOC100041708,0.5648078852024189,0.965354729511105,0.9881816627282076
LOC100041903,-2.522873204874764,0.24872486274893488,0.7551251768895969
LOC100861749,2.0593964799068796,0.3619140095480293,0.7637747757727058
LOC101055663,-0.49424969652798617,0.8537325532346267,0.9452100858277167
LOC101055672,-0.0041628908230153545,0.6457774407321094,0.8609497265438381
LOC102631979,2.1650136857278484,0.506246863175899,0.8020289823322092
LOC102631992,-2.574738572670803,0.07204691929682247,0.7517629275291794
LOC102632541,1.7260039427846379,0.1378672775910162,0.7517629275291794
