total_counts,n_genes_by_counts,pct_counts_mt,sample,tissue,condition
14050,4815,0.7259786476868327,GSM8880855,OpticNerve,Sham
5283,2489,1.0221465076660987,GSM8880855,OpticNerve,Sham
5592,2553,1.01931330472103,GSM8880855,OpticNerve,Sham
8252,3232,0.3877847794474067,GSM8880855,OpticNerve,Sham
6043,2744,0.6619228859837829,GSM8880855,OpticNerve,Sham
13058,4295,0.6509419512942258,GSM8880855,OpticNerve,Sham
5138,2536,0.4865706500583885,GSM8880855,OpticNerve,Sham
5234,2486,0.6495987772258311,GSM8880855,OpticNerve,Sham
3582,1929,0.6979341150195422,GSM8880855,OpticNerve,Sham
3647,1902,0.7403345215245407,GSM8880855,OpticNerve,Sham
3563,1902,0.36486107213022734,GSM8880855,OpticNerve,Sham
10296,3803,1.1266511266511265,GSM8880855,OpticNerve,Sham
4879,2289,0.8813281410125026,GSM8880855,OpticNerve,Sham
5045,2304,0.535183349851338,GSM8880855,OpticNerve,Sham
4114,2175,0.3403014098201264,GSM8880855,OpticNerve,Sham
2538,1251,0.6304176516942475,GSM8880855,OpticNerve,Sham
3484,1957,0.14351320321469577,GSM8880855,OpticNerve,Sham
5197,2545,0.9620935154897056,GSM8880855,OpticNerve,Sham
6851,3150,0.904977375565611,GSM8880855,OpticNerve,Sham
4731,2221,1.2893679983090256,GSM8880855,OpticNerve,Sham
4739,2307,1.1816838995568686,GSM8880855,OpticNerve,Sham
6045,2666,0.8105872622001655,GSM8880855,OpticNerve,Sham
3962,2066,0.5047955577990914,GSM8880855,OpticNerve,Sham
6704,2823,0.5071599045346062,GSM8880855,OpticNerve,Sham
4395,2280,0.5688282138794084,GSM8880855,OpticNerve,Sham
5191,2249,0.5586592178770949,GSM8880855,OpticNerve,Sham
4802,2370,0.7913369429404414,GSM8880855,OpticNerve,Sham
5036,2484,1.1715647339158062,GSM8880855,OpticNerve,Sham
3696,1916,0.3787878787878788,GSM8880855,OpticNerve,Sham
5134,2295,0.38955979742890534,GSM8880855,OpticNerve,Sham
4510,2224,0.4434589800443459,GSM8880855,OpticNerve,Sham
2866,1675,0.10467550593161201,GSM8880855,OpticNerve,Sham
3901,1961,1.2048192771084338,GSM8880855,OpticNerve,Sham
4306,2097,0.7895959126799814,GSM8880855,OpticNerve,Sham
4619,2214,0.5412426932236415,GSM8880855,OpticNerve,Sham
4756,2338,0.4625735912531539,GSM8880855,OpticNerve,Sham
1241,773,0.16116035455278002,GSM8880855,OpticNerve,Sham
3565,1815,0.6451612903225806,GSM8880855,OpticNerve,Sham
4399,2241,0.25005683109797683,GSM8880855,OpticNerve,Sham
1311,876,4.500381388253242,GSM8880855,OpticNerve,Sham
4255,2144,0.5170387779083431,GSM8880855,OpticNerve,Sham
3259,1782,0.5830009205277692,GSM8880855,OpticNerve,Sham
7230,3075,0.48409405255878285,GSM8880855,OpticNerve,Sham
6423,2907,0.7317452903627588,GSM8880855,OpticNerve,Sham
5201,2499,0.42299557777350516,GSM8880855,OpticNerve,Sham
1451,963,1.722949689869056,GSM8880855,OpticNerve,Sham
6445,3055,0.5275407292474786,GSM8880855,OpticNerve,Sham
5010,2363,1.097804391217565,GSM8880855,OpticNerve,Sham
4602,2228,0.3911342894393742,GSM8880855,OpticNerve,Sham
4442,2337,0.6078343088698784,GSM8880855,OpticNerve,Sham
4550,2168,1.032967032967033,GSM8880855,OpticNerve,Sham
4534,2230,0.8381120423467137,GSM8880855,OpticNerve,Sham
2969,1713,0.5725833614011452,GSM8880855,OpticNerve,Sham
6286,2903,0.4454342984409799,GSM8880855,OpticNerve,Sham
8041,3189,1.1068275090162913,GSM8880855,OpticNerve,Sham
3829,1995,0.07834943849569079,GSM8880855,OpticNerve,Sham
2155,1420,0.04640371229698376,GSM8880855,OpticNerve,Sham
3021,1663,0.43032108573320094,GSM8880855,OpticNerve,Sham
4873,2400,0.6772009029345373,GSM8880855,OpticNerve,Sham
4348,2165,0.78196872125115,GSM8880855,OpticNerve,Sham
10158,3854,0.7186454026383147,GSM8880855,OpticNerve,Sham
3072,1815,0.4231770833333333,GSM8880855,OpticNerve,Sham
4329,2225,0.3234003234003234,GSM8880855,OpticNerve,Sham
4989,2463,1.1024253357386251,GSM8880855,OpticNerve,Sham
4030,2131,0.39702233250620345,GSM8880855,OpticNerve,Sham
9375,3625,0.9386666666666666,GSM8880855,OpticNerve,Sham
4197,2130,0.6433166547533953,GSM8880855,OpticNerve,Sham
5797,2534,0.48300845264792136,GSM8880855,OpticNerve,Sham
3661,1889,0.027314941272876262,GSM8880855,OpticNerve,Sham
5328,2639,0.243993993993994,GSM8880855,OpticNerve,Sham
3886,1992,1.0808028821410192,GSM8880855,OpticNerve,Sham
15270,4878,0.7662082514734774,GSM8880855,OpticNerve,Sham
4365,2220,0.2061855670103093,GSM8880855,OpticNerve,Sham
7603,3043,0.4998027094567934,GSM8880855,OpticNerve,Sham
4120,2140,0.1941747572815534,GSM8880855,OpticNerve,Sham
