gene,spearman_dpt
Tulp3,0.04504314300271148
Flt3,0.045171867725216065
Gm17036,0.04519683166104592
Chst8,0.04519848225409702
Gnb4,0.04521531234316326
Epo,0.045289260303670024
Wdr95,0.045340025980289286
Zfp827,0.04537067190770278
Tmem156,0.04540558069984178
Gm12000,0.04556528702650537
Myo15,0.045600244730368104
Thap8,0.04561947317414856
Olfm2,0.04574660986998524
Stxbp1,0.04581748934415478
Rps8,0.045850205988946804
Rsph9,0.045891749130827074
Gadd45g,0.04592775277934463
Gm15559,0.04593568599984265
Tmx4,0.04606467714235489
Gm6583,0.046092574849827095
Gm16183,0.046095734211362656
Pde6b,0.0461449025424151
Myo6,0.04632238711476393
Gm42477,0.046341146418113786
Dtnbos,0.04643513377606538
Styx,0.04643971895117245
2310067P03Rik,0.046527677847227514
Grtp1,0.04654637300777181
Gm26714,0.04659071064223223
Glis3,0.04662213563694335
6030442K20Rik,0.04668417363801059
Bcor,0.04670145763657219
3110021N24Rik,0.04682147970900149
Efna5,0.047035225758532626
Hdac8,0.04717057866933811
Gm26648,0.047193649736143754
Gm15774,0.04730187915842413
Amn1,0.04731546415720894
Adgrv1,0.04734147433450443
Gm17090,0.047401713833008854
Slc18a1,0.04743434690690025
Angptl3,0.047438821159452485
Kcnab1,0.047512958397211036
4933433G19Rik,0.04766595348723632
Trim43c,0.04766860780473505
Tulp1,0.047728685609028314
Gm26672,0.047755498407098404
Cacna1e,0.04789275257823072
Tarsl2,0.04791273699081158
Psd,0.04793283202115909
Kctd1,0.04807589647396585
Gm15952,0.04810973931580547
Fhad1,0.04814797019288307
Gm26873,0.048161627687536054
1110046J04Rik,0.04819875503943953
Bank1,0.04826929346025568
Nabp1,0.048294403925529764
4833422C13Rik,0.04834547898739704
Gm47123,0.048425618274525975
Gm37165,0.04845550674104877
Rbfox2,0.04849769559647958
Gm37768,0.048535886276843195
Oxr1,0.04854204656848262
Akap17b,0.048576780185805364
Rbfox1,0.04863214774143174
